AREA,PERIMETER,UNIT_GEO_,UNIT_GEO_I,UNIT_ID,FAO90,SOILNAME,Area_1,NUMPOINTS
0.11049,7.99162,"259","257","27",LPd,Dystric Leptosols,"18200.5644033418",1
0.00439,1.55348,"407","404","51",VRk,Calcic Vertisols,"748.546403234788",1
0.00109,0.12932,"468","465","137",LXf,Ferric Lixisols,"9.0440588619842",1
0.00613,2.42010,"499","496","51",VRk,Calcic Vertisols,"2156.7160013384",1
0.00275,0.95075,"501","499","2",FLe,Eutric fluvisols,"2695.15335362742",2
0.00020,0.11484,"505","501","35",ARb,Cambic Arenosols,"243.906613597042",1
0.00014,0.08910,"514","507","51",VRk,Calcic Vertisols,"167.209570149101",1
0.00054,0.19932,"578","568","35",ARb,Cambic Arenosols,"190.783932720015",1
0.02847,2.67829,"580","573","27",LPd,Dystric Leptosols,"15644.605902455",1
0.00748,2.30275,"645","641","51",VRk,Calcic Vertisols,"2124.32836269206",1
0.00005,0.04036,"654","651","51",VRk,Calcic Vertisols,"60.953439966958",0
0.00005,0.04154,"663","658","51",VRk,Calcic Vertisols,"54.9201972189559",0
0.00006,0.04917,"678","670","51",VRk,Calcic Vertisols,"74.6697539461776",0
0.00028,0.10417,"691","688","35",ARb,Cambic Arenosols,"267.882481679168",1
0.00019,0.09773,"701","696","168",PTd,Dystric Plinthosols,"201.492590108524",1
